condition,layer,cka_similarity,cka_distance
mid_anchor,25,0.6969107389450073,0.3030892610549927
mid_anchor,26,0.6955474615097046,0.3044525384902954
mid_anchor,27,0.6979554891586304,0.30204451084136963
mid_anchor,28,0.6931707262992859,0.3068292737007141
high_anchor,0,,
high_anchor,1,0.9986497163772583,0.0013502836227416992
high_anchor,2,0.9984021186828613,0.0015978813171386719
high_anchor,3,0.9893104434013367,0.01068955659866333
high_anchor,4,0.987865686416626,0.012134313583374023
high_anchor,5,0.9862823486328125,0.0137176513671875
high_anchor,6,0.9771716594696045,0.022828340530395508
high_anchor,7,0.9736372232437134,0.02636277675628662
high_anchor,8,0.9669639468193054,0.03303605318069458
high_anchor,9,0.9692057967185974,0.030794203281402588
high_anchor,10,0.9707013368606567,0.02929866313934326
high_anchor,11,0.962386429309845,0.03761357069015503
high_anchor,12,0.9296411275863647,0.07035887241363525
high_anchor,13,0.8669927716255188,0.1330072283744812
high_anchor,14,0.8461081981658936,0.15389180183410645
high_anchor,15,0.8388014435768127,0.16119855642318726
high_anchor,16,0.8336599469184875,0.16634005308151245
high_anchor,17,0.8147398829460144,0.1852601170539856
high_anchor,18,0.7056044936180115,0.2943955063819885
high_anchor,19,0.6583691239356995,0.34163087606430054
high_anchor,20,0.6136740446090698,0.3863259553909302
high_anchor,21,0.6042596101760864,0.3957403898239136
high_anchor,22,0.5766138434410095,0.4233861565589905
high_anchor,23,0.5646026730537415,0.43539732694625854
high_anchor,24,0.5593696236610413,0.44063037633895874
high_anchor,25,0.575954258441925,0.42404574155807495
high_anchor,26,0.5740049481391907,0.4259950518608093
high_anchor,27,0.5760152339935303,0.4239847660064697
high_anchor,28,0.5941126346588135,0.4058873653411865
